OrderLineID,OrderID,OrderDate,ShipDate,CustomerID,ProductID,WarehouseID,CategoryID,SubCategoryID,CampaignID,Channel,Quantity,UnitPrice,DiscountAmount,ShippingCost,ReturnFlag,ReturnAmount,CostAmount,SalesAmount,ProfitAmount
1,28791,01-01-2022,05-01-2022,1,1,1,1,1,1,App,3,695.7,251.6,47.93,0,292.71,1989.07,1835.5,-494.21
2,28705,01-01-2022,06-01-2022,2,2,2,2,2,2,Marketplace,5,1131.55,227.92,119.65,0,72.93,1980.81,5429.83,3256.44
3,29258,01-01-2022,04-01-2022,3,3,3,3,3,3,App,6,4854.44,185.96,95.91,0,19.79,2072.23,28940.68,26752.75
4,27833,01-01-2022,06-01-2022,4,4,4,4,4,4,App,8,4448.26,56.67,117.44,0,122.07,1738.21,35529.41,33551.69
5,39270,01-01-2022,06-01-2022,5,5,5,5,5,5,App,4,1252.61,115.38,131.85,0,79.16,806.47,4895.06,3877.58
6,34245,01-01-2022,03-01-2022,6,6,6,1,6,6,Website,1,3142.77,101.84,61.4,0,3.34,288.45,3040.93,2687.74
7,39037,01-01-2022,04-01-2022,7,7,7,2,7,7,Marketplace,9,1876.9,471.98,138.78,0,389,90.19,16420.12,15802.15
8,35754,01-01-2022,04-01-2022,8,8,8,3,8,8,App,3,2396.13,483.23,136.81,0,271.61,581.89,6705.16,5714.85
9,29280,01-01-2022,04-01-2022,9,9,9,4,9,9,Marketplace,8,4318.3,1.71,91.13,0,334.48,403.94,34544.69,33715.14
10,32577,01-01-2022,06-01-2022,10,10,10,5,10,10,Website,4,3704.99,85.27,108.99,0,81.53,162.76,14734.69,14381.41
11,22514,02-01-2022,06-01-2022,11,11,11,1,1,11,App,3,1268.37,444.39,73.43,0,128.35,316.8,3360.72,2842.14
12,23969,02-01-2022,05-01-2022,12,12,12,2,2,12,Website,3,1648.37,19.17,105.16,0,30.06,193.86,4925.94,4596.86
13,39668,02-01-2022,08-01-2022,13,13,13,3,3,13,Website,4,1519.58,471.73,91.36,0,498.74,1666.92,5606.59,3349.57
14,24566,02-01-2022,07-01-2022,14,14,14,4,4,14,Marketplace,4,3925.25,190.03,61.97,0,51.54,218.61,15510.97,15178.85
15,22196,02-01-2022,04-01-2022,15,15,15,5,5,15,App,7,2501.43,269.34,61.97,0,45.18,2988.76,17240.67,14144.76
16,37173,02-01-2022,06-01-2022,16,16,16,1,6,16,Website,2,4758.55,381.91,104.72,0,307.08,1530.15,9135.19,7193.24
